"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"10153","XP_012244773.1","BIMP10235",105681197,"LOC105681197","venom acid phosphatase Acph-1 isoform X2"
"10154","XP_012244774.1","BIMP10235",105681197,"LOC105681197","venom acid phosphatase Acph-1 isoform X3"
"10155","XP_012244780.1","BIMP10195",100744739,"LOC100744739","amyloid beta A4 precursor protein-binding family B member 1-interacting protein-like isoform X2"
"10156","XP_012244781.1","BIMP10195",100744739,"LOC100744739","amyloid beta A4 precursor protein-binding family B member 1-interacting protein-like isoform X3"
"10157","XP_012244782.1","BIMP10277",100743193,"LOC100743193","solute carrier family 2, facilitated glucose transporter member 1 isoform X5"
"10158","XP_012244783.1","BIMP10277",100743193,"LOC100743193","solute carrier family 2, facilitated glucose transporter member 1 isoform X6"
"10159","XP_012244784.1","BIMP10277",100743193,"LOC100743193","solute carrier family 2, facilitated glucose transporter member 1 isoform X8"
"10160","XP_012244785.1","BIMP10277",100743193,"LOC100743193","solute carrier family 2, facilitated glucose transporter member 1 isoform X9"
"10161","XP_012244790.1","BIMP10326",100748422,"LOC100748422","pseudouridylate synthase 7 homolog isoform X1"
"10162","XP_012244791.1","BIMP10323",100747856,"LOC100747856","uncharacterized protein LOC100747856 isoform X2"
"10163","XP_012244792.1","BIMP11094",100747272,"LOC100747272","ADP-ribosylation factor-like protein 4C"
"10164","XP_012244793.1","BIMP10281",100749369,"LOC100749369","tyrosine-protein phosphatase 10D isoform X2"
"10165","XP_012244794.1","BIMP10281",100749369,"LOC100749369","tyrosine-protein phosphatase 10D isoform X4"
"10166","XP_012244795.1","BIMP10219",105681199,"LOC105681199","uncharacterized protein LOC105681199"
"10167","XP_012244796.1","BIMP10221",100741149,"LOC100741149","ankyrin repeat domain-containing protein 39"
"10168","XP_012244797.1","BIMP10219",105680196,"LOC105680196","uncharacterized protein LOC105680196 isoform X1"
"10169","XP_012244799.1","BIMP11094",100747272,"LOC100747272","ADP-ribosylation factor-like protein 4C"
"10170","XP_012244800.1","BIMP10329",100742718,"LOC100742718","HIV Tat-specific factor 1 homolog"
"10171","XP_012244802.1","BIMP10339",105681200,"LOC105681200","probable serine/threonine-protein kinase yakA"
"10172","XP_012244803.1","BIMP10249",100741315,"LOC100741315","S-phase kinase-associated protein 2 isoform X2"
"10173","XP_012244804.1","BIMP10249",100741315,"LOC100741315","S-phase kinase-associated protein 2 isoform X3"
"10174","XP_012244807.1","BIMP10330",100742952,"LOC100742952","protein vestigial isoform X2"
"10175","XP_012244808.1","BIMP10259",100749846,"LOC100749846","lachesin-like isoform X2"
"10176","XP_012244809.1","BIMP10335",100744071,"LOC100744071","transcriptional adapter 2-alpha isoform X1"
"10177","XP_012244810.1","BIMP10335",100744071,"LOC100744071","DNA-directed RNA polymerase II subunit Rpb4 isoform X2"
"10178","XP_012244811.1","BIMP15842",100747625,"LOC100747625","glycogen synthase kinase-3 beta isoform X3"
"10179","XP_012244812.1","BIMP11151",100746481,"LOC100746481","arginine-glutamic acid dipeptide repeats protein isoform X2"
"10180","XP_012244813.1","BIMP11496",105681202,"LOC105681202","LOW QUALITY PROTEIN: uncharacterized protein LOC105681202"
"10181","XP_012244818.1","BIMP11151",100746481,"LOC100746481","arginine-glutamic acid dipeptide repeats protein isoform X3"
"10182","XP_012244819.1","BIMP18718",100744939,"LOC100744939","uncharacterized protein LOC100744939 isoform X1"
"10183","XP_012244820.1","BIMP18718",100744939,"LOC100744939","uncharacterized protein LOC100744939 isoform X2"
"10184","XP_012244821.1","BIMP18718",100744939,"LOC100744939","uncharacterized protein LOC100744939 isoform X3"
"10185","XP_012244822.1","BIMP18718",100744939,"LOC100744939","uncharacterized protein LOC100744939 isoform X4"
"10186","XP_012244823.1","BIMP18718",100744939,"LOC100744939","uncharacterized protein LOC100744939 isoform X6"
"10187","XP_012244824.1","BIMP18718",100744939,"LOC100744939","uncharacterized protein LOC100744939 isoform X7"
"10188","XP_012244825.1","BIMP18719",105681204,"LOC105681204","probable serine/threonine-protein kinase clkA"
"10189","XP_012244826.1","BIMP11151",100746481,"LOC100746481","arginine-glutamic acid dipeptide repeats protein isoform X3"
"10190","XP_012244828.1","BIMP11151",100746481,"LOC100746481","arginine-glutamic acid dipeptide repeats protein isoform X3"
"10191","XP_012244829.1","BIMP18724",100744578,"LOC100744578","obscurin isoform X1"
"10192","XP_012244829.1","BIMP18723",100744578,"LOC100744578","obscurin isoform X1"
"10193","XP_012244831.1","BIMP18723",100744578,"LOC100744578","obscurin isoform X5"
"10194","XP_012244831.1","BIMP18724",100744578,"LOC100744578","obscurin isoform X5"
"10195","XP_012244833.1","BIMP18724",100744578,"LOC100744578","obscurin isoform X7"
"10196","XP_012244833.1","BIMP18723",100744578,"LOC100744578","obscurin isoform X7"
"10197","XP_012244834.1","BIMP11151",100746481,"LOC100746481","arginine-glutamic acid dipeptide repeats protein isoform X4"
"10198","XP_012244835.1","BIMP18724",100744578,"LOC100744578","obscurin isoform X9"
"10199","XP_012244837.1","BIMP18725",105681207,"LOC105681207","uncharacterized protein LOC105681207"
"10200","XP_012244839.1","BIMP18743",100742877,"LOC100742877","beta-mannosidase"
"10201","XP_012244840.1","BIMP18733",100742993,"LOC100742993","transmembrane protein 245 isoform X2"
"10202","XP_012244841.1","BIMP18714",100745910,"LOC100745910","dystroglycan isoform X1"
"10203","XP_012244843.1","BIMP18734",100746152,"LOC100746152","translation initiation factor IF-2, mitochondrial"
"10204","XP_012244845.1","BIMP11152",100746915,"LOC100746915","transcription factor 15"
"10205","XP_012244855.1","BIMP15842",100747625,"LOC100747625","glycogen synthase kinase-3 beta isoform X4"
"10206","XP_012244855.1","BIMP15841",100747625,"LOC100747625","glycogen synthase kinase-3 beta isoform X4"
"10207","XP_012244857.1","BIMP22181",100741265,"LOC100741265","dynein heavy chain, cytoplasmic isoform X1"
"10208","XP_012244858.1","BIMP22181",100741265,"LOC100741265","dynein heavy chain, cytoplasmic isoform X2"
"10209","XP_012244859.1","BIMP22181",100741265,"LOC100741265","dynein heavy chain, cytoplasmic isoform X3"
"10210","XP_012244860.1","BIMP22181",100741265,"LOC100741265","dynein heavy chain, cytoplasmic isoform X4"
"10211","XP_012244861.1","BIMP22285",100741389,"LOC100741389","uncharacterized protein LOC100741389 isoform X1"
"10212","XP_012244861.1","BIMP22284",100741389,"LOC100741389","uncharacterized protein LOC100741389 isoform X1"
"10213","XP_012244862.1","BIMP22284",100741389,"LOC100741389","uncharacterized protein LOC100741389 isoform X2"
"10214","XP_012244862.1","BIMP22285",100741389,"LOC100741389","uncharacterized protein LOC100741389 isoform X2"
"10215","XP_012244863.1","BIMP22285",100741389,"LOC100741389","uncharacterized protein LOC100741389 isoform X3"
"10216","XP_012244863.1","BIMP22284",100741389,"LOC100741389","uncharacterized protein LOC100741389 isoform X3"
"10217","XP_012244866.1","BIMP22185",100740666,"LOC100740666","protein SON isoform X1"
"10218","XP_012244867.1","BIMP11139",100745446,"LOC100745446","protein PELPK1"
"10219","XP_012244868.1","BIMP22185",100740666,"LOC100740666","protein SON isoform X2"
"10220","XP_012244869.1","BIMP22185",100740666,"LOC100740666","protein SON isoform X3"
"10221","XP_012244870.1","BIMP22286",100741632,"LOC100741632","dynamin-1-like protein"
"10222","XP_012244871.1","BIMP22288",100741151,"LOC100741151","mesoderm induction early response protein 1 isoform X1"
"10223","XP_012244872.1","BIMP22288",100741151,"LOC100741151","mesoderm induction early response protein 1 isoform X2"
"10224","XP_012244873.1","BIMP22288",100741151,"LOC100741151","mesoderm induction early response protein 1 isoform X3"
"10225","XP_012244874.1","BIMP11139",100745446,"LOC100745446","protein PELPK1"
"10226","XP_012244875.1","BIMP22288",100741151,"LOC100741151","mesoderm induction early response protein 1 isoform X4"
"10227","XP_012244882.1","BIMP22282",100740665,"LOC100740665","dual specificity protein phosphatase CDC14C isoform X2"
"10228","XP_012244883.1","BIMP11139",100745446,"LOC100745446","protein PELPK1"
"10229","XP_012244885.1","BIMP22183",100741028,"LOC100741028","baculoviral IAP repeat-containing protein 7 isoform X4"
"10230","XP_012244886.1","BIMP22283",100741150,"LOC100741150","acetyl-CoA acetyltransferase, mitochondrial isoform X2"
"10231","XP_012244887.1","BIMP22186",100740785,"LOC100740785","protein-serine O-palmitoleoyltransferase porcupine isoform X1"
"10232","XP_012244889.1","BIMP11139",100745446,"LOC100745446","protein PELPK1"
"10233","XP_012244890.1","BIMP22210",100744819,"LOC100744819","histone H1A, sperm-like"
"10234","XP_012244891.1","BIMP22260",100749926,"LOC100749926","histone H2B-like"
"10235","XP_012244893.1","BIMP11139",100745446,"LOC100745446","protein PELPK1"
"10236","XP_012244898.1","BIMP22171",100741510,"LOC100741510","uncharacterized protein LOC100741510 isoform X1"
"10237","XP_012244900.1","BIMP22166",100744700,"LOC100744700","rhophilin-2 isoform X2"
"10238","XP_012244901.1","BIMP22166",100744700,"LOC100744700","rhophilin-2 isoform X3"
"10239","XP_012244902.1","BIMP22301",100744101,"LOC100744101","serine/threonine-protein kinase PAK mbt"
"10240","XP_012244904.1","BIMP22301",100744101,"LOC100744101","serine/threonine-protein kinase PAK mbt"
"10241","XP_012244905.1","BIMP22303",100744335,"LOC100744335","facilitated trehalose transporter Tret1 isoform X1"
"10242","XP_012244906.1","BIMP22303",100744335,"LOC100744335","facilitated trehalose transporter Tret1 isoform X2"
"10243","XP_012244907.1","BIMP22303",100744335,"LOC100744335","facilitated trehalose transporter Tret1 isoform X4"
"10244","XP_012244908.1","BIMP22303",100744335,"LOC100744335","facilitated trehalose transporter Tret1 isoform X5"
"10245","XP_012244909.1","BIMP22169",100744218,"LOC100744218","gastrula zinc finger protein XlCGF57.1"
"10246","XP_012244912.1","BIMP22304",100744579,"LOC100744579","methylmalonic aciduria and homocystinuria type D homolog, mitochondrial isoform X1"
"10247","XP_012244913.1","BIMP22304",100744579,"LOC100744579","methylmalonic aciduria and homocystinuria type D homolog, mitochondrial isoform X2"
"10248","XP_012244914.1","BIMP22309",100745828,"LOC100745828","neuroblastoma-amplified sequence isoform X1"
"10249","XP_012244915.1","BIMP22309",100745828,"LOC100745828","neuroblastoma-amplified sequence isoform X2"
"10250","XP_012244918.1","BIMP22156",100746066,"LOC100746066","3-hydroxy-3-methylglutaryl-coenzyme A reductase"
"10251","XP_012244919.1","BIMP11138",105681217,"LOC105681217","uncharacterized protein LOC105681217"
"10252","XP_012244921.1","BIMP22313",100746545,"LOC100746545","ceramide transfer protein isoform X1"
"10253","XP_012244923.1","BIMP22317",100747107,"LOC100747107","proline-rich protein PRCC isoform X2"
"10254","XP_012244924.1","BIMP22157",100745629,"LOC100745629","COP9 signalosome complex subunit 2"
"10255","XP_012244928.1","BIMP22152",100741869,"LOC100741869","26S proteasome regulatory subunit 10B"
"10256","XP_012244929.1","BIMP22315",100747460,"LOC100747460","tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wdr4"
"10257","XP_012244931.1","BIMP22320",100741986,"LOC100741986","protein TIPIN homolog"
"10258","XP_012244932.1","BIMP22153",100746898,"LOC100746898","alkaline ceramidase isoform X2"
"10259","XP_012244933.1","BIMP22153",100746898,"LOC100746898","alkaline ceramidase isoform X2"
"10260","XP_012244934.1","BIMP22153",100746898,"LOC100746898","alkaline ceramidase isoform X2"
"10261","XP_012244936.1","BIMP22310",100745947,"LOC100745947","DNA repair protein complementing XP-A cells homolog"
"10262","XP_012244937.1","BIMP11074",100744875,"LOC100744875","uncharacterized protein LOC100744875 isoform X1"
"10263","XP_012244939.1","BIMP22314",100746785,"LOC100746785","6-pyruvoyl tetrahydrobiopterin synthase isoform X1"
"10264","XP_012244940.1","BIMP22314",100746785,"LOC100746785","6-pyruvoyl tetrahydrobiopterin synthase isoform X2"
"10265","XP_012244941.1","BIMP11074",100744875,"LOC100744875","uncharacterized protein LOC100744875 isoform X1"
"10266","XP_012244942.1","BIMP22319",105680220,"LOC105680220","uncharacterized protein LOC105680220"
"10267","XP_012244943.1","BIMP22270",100748226,"LOC100748226","microtubule-associated serine/threonine-protein kinase 3 isoform X1"
"10268","XP_012244951.1","BIMP22193",100748582,"LOC100748582","F-BAR domain only protein 2 isoform X1"
"10269","XP_012244965.1","BIMP22295",100741266,"LOC100741266","serine/threonine-protein kinase MARK2 isoform X1"
"10270","XP_012244978.1","BIMP19605",100741266,"LOC100741266","serine/threonine-protein kinase MARK2 isoform X15"
"10271","XP_012244980.1","BIMP19605",100741266,"LOC100741266","serine/threonine-protein kinase MARK2 isoform X17"
"10272","XP_012244981.1","BIMP19605",100741266,"LOC100741266","serine/threonine-protein kinase MARK2 isoform X17"
"10273","XP_012244982.1","BIMP19605",100741266,"LOC100741266","serine/threonine-protein kinase MARK2 isoform X17"
"10274","XP_012244984.1","BIMP23509",100741266,"LOC100741266","serine/threonine-protein kinase MARK2 isoform X17"
"10275","XP_012244985.1","BIMP22295",100741266,"LOC100741266","serine/threonine-protein kinase MARK2 isoform X18"
"10276","XP_012244988.1","BIMP22293",100742476,"LOC100742476","macro domain-containing protein CT2219 isoform X2"
"10277","XP_012244989.1","BIMP22205",100750164,"LOC100750164","ras GTPase-activating-like protein IQGAP1 isoform X1"
"10278","XP_012244991.1","BIMP22264",100745706,"LOC100745706","serine/threonine-protein kinase pakA"
"10279","XP_012244993.1","BIMP22264",100745706,"LOC100745706","serine/threonine-protein kinase pakA"
"10280","XP_012244994.1","BIMP22264",100745706,"LOC100745706","serine/threonine-protein kinase pakA"
"10281","XP_012244996.1","BIMP22206",100750047,"LOC100750047","peroxisome assembly factor 2"
"10282","XP_012244997.1","BIMP15842",100747625,"LOC100747625","glycogen synthase kinase-3 beta isoform X6"
"10283","XP_012244999.1","BIMP22263",100745466,"LOC100745466","E3 ubiquitin-protein ligase CBL-B isoform X2"
"10284","XP_012245000.1","BIMP22262",100745268,"LOC100745268","glycerol kinase isoform X1"
"10285","XP_012245002.1","BIMP22262",100745268,"LOC100745268","glycerol kinase isoform X1"
"10286","XP_012245006.1","BIMP22207",100745584,"LOC100745584","probable phospholipid hydroperoxide glutathione peroxidase isoform X1"
"10287","XP_012245007.1","BIMP22219",100743154,"LOC100743154","uncharacterized protein LOC100743154"
"10288","XP_012245010.1","BIMP22218",100743513,"LOC100743513","sodium/potassium/calcium exchanger Nckx30C isoform X2"
"10289","XP_012245014.1","BIMP22253",100743393,"LOC100743393","DNA methyltransferase 1-associated protein 1"
"10290","XP_012245015.1","BIMP22252",100743273,"LOC100743273","TM2 domain-containing protein almondex"
"10291","XP_012245016.1","BIMP22241",100743990,"LOC100743990","neither inactivation nor afterpotential protein C isoform X1"
"10292","XP_012245019.1","BIMP11142",100747792,"LOC100747792","uncharacterized protein LOC100747792 isoform X1"
"10293","XP_012245020.1","BIMP22237",100745062,"LOC100745062","modifier of mdg4 isoform X2"
"10294","XP_012245021.1","BIMP22240",100742836,"LOC100742836","protein Wnt-10a"
"10295","XP_012245022.1","BIMP22256",100743757,"LOC100743757","neutral alpha-glucosidase AB isoform X1"
"10296","XP_012245023.1","BIMP22256",100743757,"LOC100743757","neutral alpha-glucosidase AB isoform X2"
"10297","XP_012245024.1","BIMP11142",100747792,"LOC100747792","uncharacterized protein LOC100747792 isoform X1"
"10298","XP_012245025.1","BIMP22256",100743757,"LOC100743757","neutral alpha-glucosidase AB isoform X3"
"10299","XP_012245026.1","BIMP22216",100743871,"LOC100743871","Golgi pH regulator isoform X3"
"10300","XP_012245027.1","BIMP22216",100743871,"LOC100743871","Golgi pH regulator isoform X3"
"10301","XP_012245032.1","BIMP22190",100749925,"LOC100749925","protein disulfide-isomerase A3"
"10302","XP_012245033.1","BIMP22278",100740548,"LOC100740548","ras-like GTP-binding protein Rho1 isoform X1"
"10303","XP_012245035.1","BIMP22278",100740548,"LOC100740548","ras-like GTP-binding protein Rho1 isoform X2"
"10304","XP_012245037.1","BIMP22278",100740548,"LOC100740548","ras-like GTP-binding protein Rho1 isoform X3"
"10305","XP_012245038.1","BIMP22278",100740548,"LOC100740548","ras-like GTP-binding protein Rho1 isoform X3"
"10306","XP_012245039.1","BIMP22278",100740548,"LOC100740548","ras-like GTP-binding protein Rho1 isoform X3"
"10307","XP_012245040.1","BIMP22278",100740548,"LOC100740548","ras-like GTP-binding protein Rho1 isoform X3"
"10308","XP_012245041.1","BIMP22227",100749094,"LOC100749094","KICSTOR complex protein ITFG2"
"10309","XP_012245043.1","BIMP22158",105681220,"LOC105681220","alpha-(1,3)-fucosyltransferase C-like"
"10310","XP_012245044.1","BIMP22265",100746627,"LOC100746627","uncharacterized protein LOC100746627"
"10311","XP_012245046.1","BIMP22174",100743153,"LOC100743153","suppressor of cytokine signaling 5"
"10312","XP_012245047.1","BIMP22174",100743153,"LOC100743153","suppressor of cytokine signaling 5"
"10313","XP_012245048.1","BIMP22173",100743033,"LOC100743033","integrator complex subunit 14"
"10314","XP_012245049.1","BIMP22246",100742677,"LOC100742677","E3 ubiquitin-protein ligase NEDD4 isoform X1"
"10315","XP_012245050.1","BIMP22246",100742677,"LOC100742677","E3 ubiquitin-protein ligase NEDD4 isoform X1"
"10316","XP_012245051.1","BIMP22246",100742677,"LOC100742677","E3 ubiquitin-protein ligase NEDD4 isoform X5"
"10317","XP_012245052.1","BIMP22234",100741509,"LOC100741509","endoplasmic reticulum-Golgi intermediate compartment protein 2"
"10318","XP_012245059.1","BIMP15842",100747625,"LOC100747625","glycogen synthase kinase-3 beta isoform X7"
"10319","XP_012245061.1","BIMP22192",100749370,"LOC100749370","DPH3 homolog"
"10320","XP_012245063.1","BIMP11118",100742771,"LOC100742771","zinc finger protein 423 homolog isoform X1"
"10321","XP_012245070.1","BIMP22203",100746986,"LOC100746986","D-2-hydroxyglutarate dehydrogenase, mitochondrial isoform X2"
"10322","XP_012245073.1","BIMP22236",100747978,"LOC100747978","cell division cycle protein 23 homolog isoform X2"
"10323","XP_012245074.1","BIMP22243",100748736,"LOC100748736","ultraviolet-B receptor UVR8 isoform X1"
"10324","XP_012245076.1","BIMP22244",105680224,"LOC105680224","protein FAM92A-A isoform X1"
"10325","XP_012245077.1","BIMP22244",105680224,"LOC105680224","protein FAM92A-A isoform X2"
"10326","XP_012245079.1","BIMP22172",100743512,"LOC100743512","TBC1 domain family member 20 isoform X1"
"10327","XP_012245080.1","BIMP22222",100742599,"LOC100742599","protein misato"
"10328","XP_012245082.1","BIMP22223",105681223,"LOC105681223","calcium and integrin-binding family member 3"
"10329","XP_012245085.1","BIMP22261",100744701,"LOC100744701","integral membrane protein GPR180"
"10330","XP_012245087.1","BIMP22255",100743636,"LOC100743636","chondroitin sulfate proteoglycan 4"
"10331","XP_012245087.1","BIMP22254",100743636,"LOC100743636","chondroitin sulfate proteoglycan 4"
"10332","XP_012245091.1","BIMP22306",100745308,"LOC100745308","myogenic-determination protein"
"10333","XP_012245094.1","BIMP22232",100748854,"LOC100748854","inactive tyrosine-protein kinase 7-like"
"10334","XP_012245094.1","BIMP22233",100748854,"LOC100748854","inactive tyrosine-protein kinase 7-like"
"10335","XP_012245096.1","BIMP22277",100749726,"LOC100749726","small glutamine-rich tetratricopeptide repeat-containing protein alpha"
"10336","XP_012245097.1","BIMP22277",100749726,"LOC100749726","small glutamine-rich tetratricopeptide repeat-containing protein alpha"
"10337","XP_012245099.1","BIMP22274",100749178,"LOC100749178","potential E3 ubiquitin-protein ligase ariadne-2"
"10338","XP_012245100.1","BIMP22220",100749451,"LOC100749451","regulator of chromosome condensation isoform X2"
"10339","XP_012245101.1","BIMP22220",100749451,"LOC100749451","regulator of chromosome condensation isoform X3"
"10340","XP_012245102.1","BIMP22248",100749328,"LOC100749328","mitochondrial import inner membrane translocase subunit Tim10"
"10341","XP_012245103.1","BIMP22248",100749328,"LOC100749328","mitochondrial import inner membrane translocase subunit Tim10"
"10342","XP_012245104.1","BIMP11119",100747353,"LOC100747353","acyl-CoA-binding domain-containing protein 5 isoform X2"
"10343","XP_012245105.1","BIMP22248",100749328,"LOC100749328","mitochondrial import inner membrane translocase subunit Tim10"
"10344","XP_012245108.1","BIMP22321",100748017,"LOC100748017","lysophosphatidylserine lipase ABHD12 isoform X1"
"10345","XP_012245110.1","BIMP22321",100748017,"LOC100748017","lysophosphatidylserine lipase ABHD12 isoform X3"
"10346","XP_012245111.1","BIMP22321",100748017,"LOC100748017","lysophosphatidylserine lipase ABHD12 isoform X3"
"10347","XP_012245112.1","BIMP22299",100743635,"LOC100743635","inosine-5\\'-monophosphate dehydrogenase 1b-like isoform X1"
"10348","XP_012245115.1","BIMP15842",100747625,"LOC100747625","glycogen synthase kinase-3 beta isoform X9"
"10349","XP_012245116.1","BIMP10969",100746153,"LOC100746153","cytochrome P450 302a1, mitochondrial isoform X1"
"10350","XP_012245120.1","BIMP10962",100745829,"LOC100745829","retinol dehydrogenase 12-like isoform X6"
"10351","XP_012245122.1","BIMP17913",100746273,"LOC100746273","uncharacterized protein LOC100746273"
"10352","XP_012245122.1","BIMP17912",100746273,"LOC100746273","uncharacterized protein LOC100746273"
"10353","XP_012245123.1","BIMP17923",100747461,"LOC100747461","dynactin subunit 6 isoform X1"
"10354","XP_012245124.1","BIMP17923",100747461,"LOC100747461","dynactin subunit 6 isoform X2"
"10355","XP_012245127.1","BIMP17916",100748583,"LOC100748583","protein quiver isoform X1"
"10356","XP_012245135.1","BIMP17916",100748583,"LOC100748583","protein quiver isoform X2"
"10357","XP_012245136.1","BIMP17921",100747341,"LOC100747341","probable nuclear hormone receptor HR3"
"10358","XP_012245136.1","BIMP17922",100747341,"LOC100747341","probable nuclear hormone receptor HR3"
"10359","XP_012245137.1","BIMP17929",100748103,"LOC100748103","protein tipE isoform X2"
"10360","XP_012245138.1","BIMP11183",100749388,"LOC100749388","uncharacterized protein LOC100749388 isoform X3"
"10361","XP_012245139.1","BIMP17915",100746827,"LOC100746827","kelch-like protein 5"
"10362","XP_012245140.1","BIMP17904",100746942,"LOC100746942","protein phosphatase methylesterase 1"
"10363","XP_012245141.1","BIMP17902",100747777,"LOC100747777","protein tipE"
"10364","XP_012245142.1","BIMP17903",100747061,"LOC100747061","histidine decarboxylase isoform X1"
"10365","XP_012245143.1","BIMP17903",100747061,"LOC100747061","histidine decarboxylase isoform X1"
"10366","XP_012245145.1","BIMP17930",100748227,"LOC100748227","uncharacterized protein LOC100748227 isoform X1"
"10367","XP_012245147.1","BIMP10984",100749060,"LOC100749060","uncharacterized protein LOC100749060 isoform X1"
"10368","XP_012245150.1","BIMP11183",100749388,"LOC100749388","uncharacterized protein LOC100749388 isoform X2"
"10369","XP_012245154.1","BIMP12862",100741152,"LOC100741152","protein dpy-30 homolog isoform X2"
"10370","XP_012245156.1","BIMP12843",100749965,"LOC100749965","mitochondrial import inner membrane translocase subunit Tim23 isoform X1"
"10371","XP_012245157.1","BIMP12844",100743514,"LOC100743514","uncharacterized protein LOC100743514 isoform X1"
"10372","XP_012245160.1","BIMP12842",100740063,"LOC100740063","ankyrin repeat domain-containing protein 17 isoform X5"
"10373","XP_012245169.1","BIMP11183",100749388,"LOC100749388","uncharacterized protein LOC100749388 isoform X2"
"10374","XP_012245172.1","BIMP12855",100749537,"LOC100749537","AP-1 complex subunit sigma-2 isoform X1"
"10375","XP_012245173.1","BIMP12855",100749537,"LOC100749537","AP-1 complex subunit sigma-2 isoform X3"
"10376","XP_012245174.1","BIMP12828",100742441,"LOC100742441","protein 4.1 homolog isoform X1"
"10377","XP_012245175.1","BIMP12828",100742441,"LOC100742441","protein 4.1 homolog isoform X1"
"10378","XP_012245176.1","BIMP12828",100742441,"LOC100742441","protein 4.1 homolog isoform X1"
"10379","XP_012245177.1","BIMP12828",100742441,"LOC100742441","protein 4.1 homolog isoform X1"
"10380","XP_012245178.1","BIMP12828",100742441,"LOC100742441","protein 4.1 homolog isoform X2"
"10381","XP_012245179.1","BIMP12828",100742441,"LOC100742441","protein 4.1 homolog isoform X3"
"10382","XP_012245180.1","BIMP11135",100742085,"LOC100742085","sodium-dependent nutrient amino acid transporter 1-like"
"10383","XP_012245193.1","BIMP12858",100743394,"LOC100743394","TELO2-interacting protein 1 homolog isoform X1"
"10384","XP_012245194.1","BIMP12858",100743394,"LOC100743394","TELO2-interacting protein 1 homolog isoform X2"
"10385","XP_012245195.1","BIMP12845",100743274,"LOC100743274","cation-independent mannose-6-phosphate receptor"
"10386","XP_012245198.1","BIMP12856",100749653,"LOC100749653","diacylglycerol kinase theta isoform X1"
"10387","XP_012245199.1","BIMP12856",100749653,"LOC100749653","diacylglycerol kinase theta isoform X2"
"10388","XP_012245200.1","BIMP12856",100749653,"LOC100749653","diacylglycerol kinase theta isoform X3"
"10389","XP_012245201.1","BIMP12856",100749653,"LOC100749653","diacylglycerol kinase theta isoform X4"
"10390","XP_012245202.1","BIMP12856",100749653,"LOC100749653","diacylglycerol kinase theta isoform X7"
"10391","XP_012245207.1","BIMP12839",100740304,"LOC100740304","magnesium transporter NIPA2 isoform X2"
"10392","XP_012245209.1","BIMP12840",100740427,"LOC100740427","protein cornichon isoform X2"
"10393","XP_012245210.1","BIMP11179",100748629,"LOC100748629","ubiquitin carboxyl-terminal hydrolase 22"
"10394","XP_012245211.1","BIMP12866",100742562,"LOC100742562","stromal membrane-associated protein 1"
"10395","XP_012245213.1","BIMP12866",100742562,"LOC100742562","stromal membrane-associated protein 1"
"10396","XP_012245214.1","BIMP12832",100743758,"LOC100743758","E3 ubiquitin-protein ligase RNF8 isoform X1"
"10397","XP_012245220.1","BIMP18042",100744103,"LOC100744103","glutamyl aminopeptidase-like"
"10398","XP_012245220.1","BIMP18041",100744103,"LOC100744103","glutamyl aminopeptidase-like"
"10399","XP_012245231.1","BIMP18051",100745871,"LOC100745871","DDB1- and CUL4-associated factor 6 isoform X5"
"10400","XP_012245247.1","BIMP18069",100745387,"LOC100745387","calcium/calmodulin-dependent protein kinase type II alpha chain isoform X6"
"10401","XP_012245260.1","BIMP18069",100745387,"LOC100745387","calcium/calmodulin-dependent protein kinase type II alpha chain isoform X15"
"10402","XP_012245262.1","BIMP23763",100745387,"LOC100745387","calcium/calmodulin-dependent protein kinase type II alpha chain isoform X22"
"10403","XP_012245264.1","BIMP13873",100745387,"LOC100745387","calcium/calmodulin-dependent protein kinase type II alpha chain isoform X29"
"10404","XP_012245266.1","BIMP18069",100745387,"LOC100745387","calcium/calmodulin-dependent protein kinase type II alpha chain isoform X19"
"10405","XP_012245267.1","BIMP18052",100745148,"LOC100745148","cytosolic carboxypeptidase-like protein 5 isoform X1"
"10406","XP_012245270.1","BIMP18052",100745148,"LOC100745148","cytosolic carboxypeptidase-like protein 5 isoform X1"
"10407","XP_012245272.1","BIMP18052",100745148,"LOC100745148","cytosolic carboxypeptidase-like protein 5 isoform X2"
"10408","XP_012245275.1","BIMP18067",100744820,"LOC100744820","coronin-2B isoform X2"
"10409","XP_012245281.1","BIMP18065",100748541,"LOC100748541","protein FAM162B isoform X2"
"10410","XP_012245282.1","BIMP18058",100748423,"LOC100748423","cadherin-23 isoform X1"
"10411","XP_012245285.1","BIMP18064",100747418,"LOC100747418","tensin-1 isoform X4"
"10412","XP_012245287.1","BIMP18064",100747418,"LOC100747418","tensin-1 isoform X6"
"10413","XP_012245288.1","BIMP15881",100747269,"LOC100747269","leucine-rich repeat-containing protein 58"
"10414","XP_012245290.1","BIMP18049",100746425,"LOC100746425","microtubule-associated protein Jupiter isoform X2"
"10415","XP_012245291.1","BIMP18049",100746425,"LOC100746425","microtubule-associated protein Jupiter isoform X3"
"10416","XP_012245292.1","BIMP18049",100746425,"LOC100746425","microtubule-associated protein Jupiter isoform X4"
"10417","XP_012245293.1","BIMP18049",100746425,"LOC100746425","microtubule-associated protein Jupiter isoform X6"
"10418","XP_012245295.1","BIMP18074",100746628,"LOC100746628","dynactin subunit 4 isoform X1"
